swe_start_m,5119.502312202874
airtemp_max_C,-6239.217693031421
airtemp_min_C,2190.703277709708
airtemp_mean_C,8297.82108157844
precip_start_m,139580.17927139334
precip_incr_m,-849.1394112700674
year,-18043.28581039656
month,39394.18166947068
stn_1059_cochetopa_pass,28851.630166429008
stn_409_columbine_pass,24687.839520666956
stn_618_mcclure_pass,23171.115462668167
stn_622_mesa_lakes,56630.39407079833
stn_669_north_lost_trail,4856.348473752506
stn_675_overland_reservoir,54546.401109636674
stn_680_park_cone,-31704.42862394856
stn_682_park_reservoir,-30191.252359985665
stn_701_porphyry_creek,-16510.648626044524
stn_737_schofield_pass,-60812.525713787254
stn_762_slumgullion,-30873.900917053892
